1.808134666958603587e+00 0.000000000000000000e+00
1.027743744699270110e+03 0.000000000000000000e+00
1.048718106835990056e+03 3.409736847658131136e-07
1.055714438030876863e+03 8.433781037513123253e-05
1.062845709583726375e+03 8.250002774895402659e-05
1.070115792540065740e+03 8.066054505679260474e-05
1.077529281807957886e+03 7.881364556672637047e-05
1.085090292029235798e+03 7.695930995113609322e-05
1.092803130557927261e+03 7.509675378244046488e-05
1.100672359242747689e+03 7.322483917568071564e-05
1.108703177081877811e+03 7.134232650155102452e-05
1.116900464817221518e+03 6.944810653440712663e-05
1.125269317836470236e+03 6.754109704382654311e-05
1.133815052745026151e+03 6.562025972223206865e-05
1.142543214514062583e+03 6.368462168683541608e-05
1.151459631216297339e+03 6.173328944636714290e-05
1.160570525158348346e+03 5.976545518927615198e-05
1.169882108977752523e+03 5.778051429126450849e-05
1.179400845513852801e+03 5.578851624981674852e-05
1.189133455248663495e+03 5.492140973904495091e-05
1.199086916968017249e+03 8.041231611783317883e-05
1.209268475227510862e+03 2.011415199991391299e-04
1.219685646319540638e+03 8.150600275696156909e-04
1.230346219330764825e+03 3.193299880897305107e-04
1.241258262303090760e+03 1.847077083100148265e-04
1.252430127901480319e+03 1.791690173089294279e-04
1.263870508517225971e+03 1.785183684105037241e-04
1.275588552892115786e+03 1.777634943388580141e-04
1.287593518483320395e+03 1.768609935689790548e-04
1.299894948740121890e+03 1.758070772801495301e-04
1.312502679150738686e+03 1.745917554716700133e-04
1.325426948505598602e+03 1.732114391604419991e-04
1.338678508067652956e+03 1.716620682578090431e-04
1.352268082815170146e+03 1.699395690945560127e-04
1.366206764938427341e+03 1.680402674409538742e-04
1.380506235521915414e+03 1.659609796883852566e-04
1.395178045891290594e+03 1.636991357840746097e-04
1.410234392328277409e+03 1.612528980620204946e-04
1.425687413634899258e+03 1.586213037239874325e-04
1.441549737220893803e+03 1.558044267459617570e-04
1.457833936614434833e+03 1.528035566415174057e-04
1.474552988862777056e+03 1.496209861954482425e-04
1.491719821192207291e+03 1.462597966703828853e-04
1.509347458338309480e+03 1.427317483029152912e-04
1.527448989769530272e+03 1.390409773932576069e-04
1.546037408321756175e+03 1.351995735916689445e-04
1.565125577720995125e+03 1.312229898903062651e-04
1.584726163961924613e+03 1.271299752954016451e-04
1.604851523345443638e+03 1.230234874341422748e-04
1.625513610627897606e+03 1.218444137649698990e-04
1.646723864285755553e+03 1.412144658081559566e-04
1.668493102928512144e+03 1.583070024432955123e-04
1.690831415170448508e+03 1.230147026021921500e-04
1.713747905544112427e+03 1.030780198329329353e-04
1.737250570353597595e+03 9.949791610142384572e-05
1.761346489013981682e+03 9.568633588194491594e-05
1.786041217793117994e+03 9.043289756966863197e-05
1.811338834841961216e+03 8.653254672020505522e-05
1.837241942185164817e+03 8.335581967950243180e-05
1.863751329912726533e+03 8.587794391273366511e-05
1.890865731216575796e+03 1.128602352515922953e-04
1.918582289842095179e+03 1.187918161292094690e-04
1.946895994004958084e+03 8.178536449619410907e-05
1.975799253215806857e+03 6.859225724444541401e-05
2.005282674181647280e+03 6.545018268062219443e-05
2.035334675376548148e+03 6.285878209933429750e-05
2.065941486100061866e+03 6.041451171753980975e-05
2.097087220233079279e+03 5.814294305872355373e-05
2.128753977259031217e+03 5.607371930574340342e-05
2.160921552694570892e+03 5.423765411568655202e-05
2.193568194588602182e+03 5.277624646568929249e-05
2.226670714303038949e+03 5.160368610925144487e-05
2.260204592983628572e+03 5.064422543253996350e-05
2.294143176681068326e+03 4.984844168796173945e-05
2.328459807754123176e+03 4.916145142803065725e-05
2.363126566241663568e+03 4.852366662333449824e-05
2.398115054926069206e+03 4.787210865785549802e-05
2.433396654505481365e+03 4.715238190595856359e-05
2.468942579370436306e+03 4.634797395146267394e-05
2.504724122493801588e+03 4.546777854857987703e-05
2.540713267343471216e+03 4.452431004758037898e-05
2.576881817216332365e+03 4.353063528546730342e-05
2.613202985975688989e+03 4.250023546089122561e-05
2.649650485127298907e+03 4.144460343688453170e-05
2.686198844819499300e+03 4.044781786887134288e-05
2.722824015029056682e+03 3.982045123776595176e-05
2.759502840445150014e+03 4.231097781868296359e-05
2.796213221520781644e+03 4.716786416057394096e-05
2.832934601954317259e+03 4.118786125432883114e-05
2.869647580681456020e+03 3.551593146205558643e-05
2.906333717382044142e+03 3.368213481249672411e-05
2.942976176188729823e+03 3.228762187992414100e-05
2.979559318617626559e+03 3.100820458926042820e-05
3.016068395359217902e+03 2.994347277884675326e-05
3.052490114124312186e+03 2.919861025003403206e-05
3.088812307774545843e+03 2.886914907363362967e-05
3.125023622387584510e+03 2.898144691831048436e-05
3.161113961362820646e+03 2.942068911709062705e-05
3.197074178647546887e+03 3.002999148526033470e-05
3.232895855677867530e+03 3.065095218517220751e-05
3.268571652794849797e+03 3.104762351961764725e-05
3.304094901708005636e+03 3.002156354685785671e-05
3.339459717267188353e+03 2.750228096484353223e-05
3.374660954296452019e+03 2.838031420201578408e-05
3.409694020363826894e+03 2.821007423109563820e-05
3.444555046882248462e+03 2.745422780020721700e-05
3.479240578975818607e+03 2.753463501705323099e-05
3.513747805081369279e+03 2.685622472751728054e-05
3.548074270531955335e+03 2.610955056544066042e-05
3.582218041592080226e+03 2.554419583895800410e-05
3.616177513987117436e+03 2.510122119459456114e-05
3.649951473029549561e+03 2.493987283897918005e-05
3.683539035585932652e+03 3.007013954918879230e-05
3.716939584680500957e+03 4.751396222504595656e-05
3.750152815773941711e+03 4.146873646972233440e-05
3.783178637873325897e+03 2.456980501824705494e-05
3.816017190832865708e+03 2.296930130065782071e-05
3.848668822225611166e+03 3.917417209479785918e-05
3.881134052778447767e+03 5.323081059778186702e-05
3.913413560781697015e+03 3.314583834762264102e-05
3.945508177822225662e+03 3.016062353187011759e-05
3.977418862006566997e+03 3.382575524145624280e-05
4.009146681534647996e+03 1.835171625131560677e-05
4.040692814826348240e+03 1.309085768185374103e-05
4.072058525656357688e+03 1.927717325857423756e-05
4.103245158547932988e+03 2.842266913243397737e-05
4.134254126125400035e+03 1.968712591760793062e-05
4.165086900764884376e+03 1.382634401114065719e-05
4.195745011024742780e+03 1.400399764894229200e-05
4.226230026214246209e+03 1.487018536956999316e-05
4.256543559098223341e+03 1.584096366810450646e-05
4.286687254779041723e+03 1.806456265614913187e-05
4.316662779036409120e+03 3.195135252139145164e-05
4.346471818580444051e+03 5.600461936967359892e-05
4.376116083321180668e+03 4.650777530520896320e-05
4.405597287127638083e+03 2.449102041116280761e-05
4.434917155216462561e+03 1.946783977797783766e-05
4.464077418433771527e+03 1.899099978015659140e-05
4.493079811275465545e+03 1.849467048781616656e-05
4.521926074039356536e+03 1.777885166720626295e-05
4.550617936541116251e+03 1.694177347984900334e-05
4.579157120252243658e+03 1.608017959235988597e-05
4.607545345263861236e+03 1.529528499024940196e-05
4.635784316774878789e+03 1.508479246467113613e-05
4.663875731506172997e+03 1.835591236754071910e-05
4.691821272008345659e+03 2.140968580391971053e-05
4.719622620770962385e+03 1.687944699013663161e-05
4.747281439301408682e+03 1.499600683349280015e-05
4.774799368678494830e+03 1.546028560672912819e-05
4.802178029780094221e+03 1.769494152293925730e-05
4.829419028614718627e+03 4.525812272202323712e-05
4.856523979581193089e+03 1.122155128747773787e-04
4.883494450967038574e+03 7.962120918669406491e-05
4.910331990225617119e+03 3.395768546982750615e-05
4.937038141581647324e+03 9.283303940422804644e-05
4.963614433095228378e+03 2.009175076052420201e-04
4.990062353372278267e+03 4.135741496719674685e-04
5.016383384830883188e+03 4.959643693928415071e-04
5.042579000883068147e+03 1.470340406785114375e-04
5.068650628727237745e+03 2.715252835393145789e-05
5.094599701114990239e+03 2.082203327144539106e-05
5.120427619725740442e+03 2.066177301297627582e-05
5.146135751222836916e+03 2.049437112376536308e-05
5.171725486284458384e+03 2.027617804521231879e-05
5.197198147971125763e+03 2.002239307046957092e-05
5.222555073710733268e+03 1.974807787411506251e-05
5.247797561144311658e+03 1.946788866563554688e-05
5.272926898186535254e+03 1.919608842328596673e-05
5.297944354016763100e+03 1.894655857933156659e-05
5.322851170358209856e+03 1.873281031563459186e-05
5.347648585534513586e+03 1.856759247970760226e-05
5.372337802157026999e+03 1.845946691534782009e-05
5.396920022210045317e+03 1.840747324084391403e-05
5.421396413888794996e+03 1.840734227014305640e-05
5.445768137107907933e+03 1.845459173739873513e-05
5.470036331948024781e+03 1.854484811054846920e-05
5.494202114173634072e+03 1.867384360675597335e-05
5.518266602454956228e+03 1.883741335063426143e-05
5.542230864843385461e+03 1.903148594610484264e-05
5.566095999050498904e+03 1.925206987177497623e-05
